	enraged	set	inspire	durability	text	freeze	cost	divine_shield	immunetospellpower	adjacent_buff	id	playerClass	charge	choose_one	poisonous	attack	overload	secret	invisibledeathrattle	health	spellDamage	combo	cant_be_targeted_by_hero_powers	type	aura	collectible	taunt	forgetful	topdeck	deathrattle	stealth	cant_attack	name	artist	ritual	windfury	rarity	race	cant_be_targeted_by_abilities	battlecry	silence
0	0	expert1	0	0	restore_#8_health._draw_3_cards.	0	8	0	0	0	ex1_354	paladin	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	lay_on_hands	raymond_swanland	0	0	epic		0	0	0
1	0	core	0	0	<b>battlecry:</b>_give_a_friendly_beast_+2/+2_and_<b>taunt</b>.	0	4	0	0	0	ds1_070	hunter	0	0	0	4	0	0	0	3	0	0	0	minion	0	True	0	0	0	0	0	0	houndmaster	dan_brereton	0	0	free		0	1	0
2	0	core	0	0	whenever_this_minion_takes_damage,_gain_+3_attack.	0	5	0	0	0	ex1_399	neutral	0	0	0	2	0	0	0	7	0	0	0	minion	0	True	0	0	0	0	0	0	gurubashi_berserker	alex_horley_orlandelli	0	0	common		0	0	0
3	0	expert1	0	0	all_minions_cost_(1)_more.	0	2	0	0	0	ex1_616	neutral	0	0	0	2	0	0	0	2	0	0	0	minion	1	True	0	0	0	0	0	0	mana_wraith	luca_zontini	0	0	rare		0	0	0
4	0	core	0	0	whenever_you_summon_a_beast,_draw_a_card.	0	5	0	0	0	cs2_237	hunter	0	0	0	3	0	0	0	2	0	0	0	minion	0	True	0	0	0	0	0	0	starving_buzzard	bernie_kang	0	0	common	beast	0	0	0
5	0	core	0	0	return_an_enemy_minion_to_your_opponent's_hand.	0	2	0	0	0	ex1_581	rogue	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	sap	scott_altmann	0	0	free		0	0	0
6	0	gvg	0	0	<b>battlecry:</b>_deal_4_damage_to_a_random_enemy_minion.	0	5	0	0	0	gvg_099	neutral	0	0	0	3	0	0	0	3	0	0	0	minion	0	True	0	0	0	0	0	0	bomb_lobber	luca_zontini	0	0	rare		0	1	0
7	0	expert1	0	0	<b>secret:</b>_when_your_hero_is_attacked,_deal_$2_damage_to_all_enemies.	0	2	0	0	0	ex1_610	hunter	0	0	0		0	1	0		0	0	0	spell	0	True	0	0	0	0	0	0	explosive_trap	brandon_kitkouski	0	0	common		0	0	0
8	0	expert1	0	0	copy_2_cards_from_your_opponent's_deck_and_put_them_into_your_hand.	0	3	0	0	0	ex1_339	priest	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	thoughtsteal	alex_garner	0	0	common		0	0	0
9	0	tgt	0	0	destroy_2_random_enemy_minions._discard_2_random_cards.	0	6	0	0	0	at_025	warlock	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	dark_bargain	paul_mafayon	0	0	epic		0	0	0
10	0	tgt	0	0		0	7	0	0	0	at_020	warlock	0	0	0	6	0	0	0	8	0	0	0	minion	0	True	0	0	0	0	0	0	fearsome_doomguard	anton_zemskov	0	0	common	demon	0	0	0
11	1	expert1	0	0	<b>enrage:</b>_<b>windfury</b>_and_+1_attack	0	3	0	0	0	ex1_412	neutral	0	0	0	3	0	0	0	3	0	0	0	minion	0	True	0	0	0	0	0	0	raging_worgen	alex_horley_orlandelli	0	0	common		0	0	0
12	1	expert1	0	0	<b>enrage:</b>_+5_attack.	0	1	0	0	0	ex1_009	neutral	0	0	0	1	0	0	0	1	0	0	0	minion	0	True	0	0	0	0	0	0	angry_chicken	mike_sass	0	0	rare	beast	0	0	0
13	0	loe	0	0	after_you_play_a_<b>battlecry</b>_minion,_deal_2_damage_to_a_random_enemy.	0	4	0	0	0	loe_016	shaman	0	0	0	2	0	0	0	6	0	0	0	minion	0	True	0	0	0	0	0	0	rumbling_elemental	cole_eastburn	0	0	common		0	0	0
